round,source,x1,x2,y
5,legacy_week5,0.19,0.04,0.4
5,legacy_week5,0.76,0.54,-0.09
5,legacy_week5,0.44,0.8,0.23
5,legacy_week5,0.35,0.32,0.68
5,legacy_week5,0.3,0.32,0.43
5,legacy_week5,0.57,0.03,-0.23
5,legacy_week5,0.57,0.18,0.12
5,legacy_week5,0.83,0.79,0.18
5,legacy_week5,0.61,0.84,0.22
5,legacy_week5,0.04,0.29,-0.06
5,legacy_week5,0.88,0.29,0.09
5,legacy_week5,0.96,0.03,-0.09
5,legacy_week5,0.7,0.93,0.49
5,legacy_week5,0.7,0.93,0.49954705055291193
6,kaggle,0.067733,0.787693,0.030560624902781906
7,kaggle,0.623972,0.417079,0.08203293333916903
8,kaggle,0.122566,0.258113,-0.046747745924137246
