round,source,x1,x2,x3,x4,y
5,legacy_week5,0.19,0.04,0.61,0.41,-3.16
5,legacy_week5,0.76,0.54,0.66,0.36,-3.0
5,legacy_week5,0.44,0.8,0.21,0.15,-3.15
5,legacy_week5,0.35,0.32,0.12,0.47,-3.03
5,legacy_week5,0.3,0.32,0.62,0.1,-3.1
5,legacy_week5,0.57,0.03,0.88,0.82,-2.95
5,legacy_week5,0.57,0.18,0.34,0.79,-3.02
5,legacy_week5,0.83,0.79,0.11,0.69,-2.98
5,legacy_week5,0.61,0.84,0.98,0.21,-3.14
5,legacy_week5,0.04,0.29,0.98,0.56,-3.07
5,legacy_week5,0.88,0.29,0.41,0.03,-2.99
5,legacy_week5,0.96,0.03,0.09,0.95,-2.92
5,legacy_week5,0.93,0.85,0.64,0.59,-3.17
5,legacy_week5,0.85,0.94,0.48,0.76,-3.19
5,legacy_week5,0.99,0.9,0.91,0.33,-3.24
5,legacy_week5,0.3,0.29,0.46,0.93,-3.04
5,legacy_week5,0.9,0.55,0.95,0.48,-3.25
5,legacy_week5,0.5,0.66,0.31,0.26,-3.08
5,legacy_week5,0.06,0.58,0.76,0.66,-3.12
5,legacy_week5,0.67,0.71,0.77,0.86,-3.22
5,legacy_week5,0.22,0.85,0.88,0.88,-3.28
5,legacy_week5,0.26,0.84,0.95,0.89,-3.29
5,legacy_week5,0.0,1.0,1.0,1.0,-3.36
5,legacy_week5,0.0,1.0,1.0,0.95,-3.36
5,legacy_week5,0.55,0.45,0.52,0.28,-3.38
5,legacy_week5,0.54,0.42,0.55,0.29,-3.38
5,legacy_week5,0.51,0.42,0.46,0.32,-3.38
5,legacy_week5,0.51,0.44,0.47,0.3,-3.38
5,legacy_week5,0.51,0.44,0.46,0.3,-3.38
5,legacy_week5,0.51,0.43,0.46,0.31,-3.38
5,legacy_week5,0.53,0.47,0.38,0.3,-3.3897164075807775
6,kaggle,0.540007,0.651491,0.876118,0.904768,-25.154033310264733
7,kaggle,0.191,0.651386,0.359162,0.134196,-10.343849992615784
8,kaggle,0.987964,0.651668,0.743462,0.439102,-24.013048199912827
