round,source,x1,x2,x3,x4,x5,y
5,legacy_week5,0.19,0.04,0.61,0.41,0.93,-0.58
5,legacy_week5,0.76,0.54,0.66,0.36,0.03,-0.47
5,legacy_week5,0.44,0.8,0.21,0.15,0.12,-0.49
5,legacy_week5,0.35,0.32,0.12,0.47,0.1,-0.55
5,legacy_week5,0.3,0.32,0.62,0.1,0.5,-0.5
5,legacy_week5,0.57,0.03,0.88,0.82,0.48,-0.63
5,legacy_week5,0.57,0.18,0.34,0.79,0.66,-0.57
5,legacy_week5,0.83,0.79,0.11,0.69,0.41,-0.63
5,legacy_week5,0.61,0.84,0.98,0.21,0.21,-0.56
5,legacy_week5,0.04,0.29,0.98,0.56,0.06,-0.5
5,legacy_week5,0.88,0.29,0.41,0.03,0.88,-0.5
5,legacy_week5,0.96,0.03,0.09,0.95,0.28,-0.52
5,legacy_week5,0.93,0.85,0.64,0.59,0.36,-0.67
5,legacy_week5,0.85,0.94,0.48,0.76,0.26,-0.67
5,legacy_week5,0.99,0.9,0.91,0.33,0.03,-0.58
5,legacy_week5,0.3,0.29,0.46,0.93,0.7,-0.55
5,legacy_week5,0.9,0.55,0.95,0.48,0.07,-0.63
5,legacy_week5,0.5,0.66,0.31,0.26,0.46,-0.52
5,legacy_week5,0.06,0.58,0.76,0.66,0.3,-0.58
5,legacy_week5,0.67,0.71,0.77,0.86,0.28,-0.67
5,legacy_week5,0.22,0.85,0.88,0.88,0.13,-0.64
5,legacy_week5,0.26,0.84,0.95,0.89,0.13,-0.64
5,legacy_week5,0.0,1.0,1.0,1.0,0.1,-0.64
5,legacy_week5,0.0,1.0,1.0,0.95,0.07,-0.63
5,legacy_week5,0.55,0.2,0.75,1.0,0.03,-0.64
5,legacy_week5,0.55,0.18,0.72,1.0,0.03,-0.6368618203511591
6,kaggle,0.960656,0.921233,0.983204,0.599471,0.580645,-2.0513280570712826
7,kaggle,0.983937,0.984935,0.494668,0.799144,0.597478,-1.8462798476078255
