round,source,x1,x2,x3,x4,x5,x6,y
5,legacy_week5,0.19,0.04,0.61,0.41,0.93,0.29,0.63
5,legacy_week5,0.76,0.54,0.66,0.36,0.03,0.12,0.17
5,legacy_week5,0.44,0.8,0.21,0.15,0.12,0.1,0.09
5,legacy_week5,0.35,0.32,0.12,0.47,0.1,0.5,0.22
5,legacy_week5,0.3,0.32,0.62,0.1,0.5,0.48,0.25
5,legacy_week5,0.57,0.03,0.88,0.82,0.48,0.66,0.55
5,legacy_week5,0.57,0.18,0.34,0.79,0.66,0.41,0.33
5,legacy_week5,0.83,0.79,0.11,0.69,0.41,0.21,0.29
5,legacy_week5,0.61,0.84,0.98,0.21,0.21,0.06,0.45
5,legacy_week5,0.04,0.29,0.98,0.56,0.06,0.88,0.59
5,legacy_week5,0.88,0.29,0.41,0.03,0.88,0.28,0.13
5,legacy_week5,0.96,0.03,0.09,0.95,0.28,0.36,0.09
5,legacy_week5,0.93,0.85,0.64,0.59,0.36,0.26,0.56
5,legacy_week5,0.85,0.94,0.48,0.76,0.26,0.03,0.54
5,legacy_week5,0.99,0.9,0.91,0.33,0.03,0.7,0.7
5,legacy_week5,0.3,0.29,0.46,0.93,0.7,0.07,0.23
5,legacy_week5,0.9,0.55,0.95,0.48,0.07,0.46,0.66
5,legacy_week5,0.5,0.66,0.31,0.26,0.46,0.3,0.24
5,legacy_week5,0.06,0.58,0.76,0.66,0.3,0.28,0.48
5,legacy_week5,0.67,0.71,0.77,0.86,0.28,0.13,0.69
5,legacy_week5,0.22,0.85,0.88,0.88,0.13,0.13,0.74
5,legacy_week5,0.26,0.84,0.95,0.89,0.13,0.1,0.78
5,legacy_week5,0.0,1.0,1.0,1.0,0.1,0.07,0.87
5,legacy_week5,0.01,0.36,0.51,0.21,0.43,0.74,1.89
5,legacy_week5,0.01,0.36,0.51,0.21,0.43,0.74,1.8942067659620383
6,kaggle,0.892708,0.337677,0.455479,0.154563,0.252607,0.772069,0.5561292296247439
7,kaggle,0.017006,0.188413,0.098482,0.093507,0.304831,0.72605,1.5518772385254398
